system:index,date,path,row,sat,.geo
2_LC08_106061_20150308,2015-03-08,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150308,2015-03-08,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150316,2015-03-16,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150324,2015-03-24,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150324,2015-03-24,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150401,2015-04-01,106.0,61.0,LANDSAT_7,
2_LC08_106062_20150409,2015-04-09,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150417,2015-04-17,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150425,2015-04-25,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150425,2015-04-25,106.0,62.0,LANDSAT_8,
2_LC08_106061_20150511,2015-05-11,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150511,2015-05-11,106.0,62.0,LANDSAT_8,
2_LC08_106061_20150527,2015-05-27,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20150604,2015-06-04,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150612,2015-06-12,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150612,2015-06-12,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150620,2015-06-20,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150628,2015-06-28,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150628,2015-06-28,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150706,2015-07-06,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150714,2015-07-14,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150714,2015-07-14,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150722,2015-07-22,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150730,2015-07-30,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150730,2015-07-30,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150807,2015-08-07,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150815,2015-08-15,106.0,61.0,LANDSAT_8,
2_LC08_106062_20150815,2015-08-15,106.0,62.0,LANDSAT_8,
1_2_LE07_106061_20150823,2015-08-23,106.0,61.0,LANDSAT_7,
2_LC08_106061_20150831,2015-08-31,106.0,61.0,LANDSAT_8,
1_2_LE07_106061_20150908,2015-09-08,106.0,61.0,LANDSAT_7,
2_LC08_106062_20150916,2015-09-16,106.0,62.0,LANDSAT_8,
